trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
472,False,"{'a': 0.7, 'e': 0.058894945909171818}",20,8,-19.815109854392254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
473,False,"{'a': 0.7, 'e': 0.058542634225701599}",20,13,14.147473761651076,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.7, 'e': 0.058192430083386149}",30,14,26.32385120809327,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.7, 'e': 0.057844320874838456}",20,0,33.61435684649295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
476,False,"{'a': 0.7, 'e': 0.057498294068089484}",25,13,24.796027353674756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.7, 'e': 0.05715433720613676}",35,25,17.042103820124517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.7, 'e': 0.056812437906496156}",30,15,28.98892726620318,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.7, 'e': 0.056472583860755911}",25,10,27.448767624096853,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.7, 'e': 0.056134762834133725}",25,15,18.711866289765137,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.7, 'e': 0.05579896266503611}",20,4,7.037979367195711,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
482,False,"{'a': 0.7, 'e': 0.05546517126462075}",25,13,20.284817792028083,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.7, 'e': 0.055133376616361141}",35,28,11.24152329025134,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.7, 'e': 0.054803566775614154}",25,13,21.874287810579638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.7, 'e': 0.054475729869189859}",20,8,0.6890338150358983,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
486,False,"{'a': 0.7, 'e': 0.054149854094924267}",20,12,13.435271419203062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.7, 'e': 0.053825927721254253}",20,12,16.981537402896517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.7, 'e': 0.053503939086795439}",30,18,20.08559245212327,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.7, 'e': 0.053183876599922159}",20,13,13.452054385148195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.7, 'e': 0.052865728738350368}",25,11,15.283421236028422,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
491,False,"{'a': 0.7, 'e': 0.052549484048722638}",20,1,17.619753861189242,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
492,False,"{'a': 0.7, 'e': 0.052235131146196032}",25,14,19.783689317762537,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.7, 'e': 0.051922658714032073}",20,13,13.966379646840755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.7, 'e': 0.051612055503189487}",20,5,12.89068037421862,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
495,False,"{'a': 0.7, 'e': 0.051303310331919108}",25,4,-0.16949001072487335,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
496,False,"{'a': 0.7, 'e': 0.050996412085361466}",25,17,14.106013624954812,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.7, 'e': 0.050691349715146494}",20,12,16.307265931237954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.7, 'e': 0.050388112238995961}",20,12,13.5531494200503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.7, 'e': 0.050086688740327928}",25,14,18.30579082282388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.7, 'e': 0.049787068367863944}",20,14,12.38220854652465,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.7, 'e': 0.049489240335238188}",25,13,23.562839894352464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.7, 'e': 0.049193193920609363}",20,14,13.178270440586672,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.7, 'e': 0.048898918466274539}",20,6,24.216900360296556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.7, 'e': 0.048606403378285604}",30,21,18.922236698958994,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.7, 'e': 0.048315638126067768}",30,19,-2.9850355997709688,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
506,False,"{'a': 0.7, 'e': 0.048026612242040585}",25,10,2.3032991933310183,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
507,False,"{'a': 0.7, 'e': 0.047739315321240976}",25,17,14.859985877849157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.7, 'e': 0.047453737020948801}",20,14,12.331576230992813,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.7, 'e': 0.047169867060314369}",30,10,35.740374927816674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.7, 'e': 0.046887695219988486}",25,7,25.96909571398185,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.7, 'e': 0.046607211341754377}",25,18,13.493477063121412,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.7, 'e': 0.046328405328162174}",25,12,23.434570764818332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.7, 'e': 0.046051267142165266}",25,7,27.47159982150346,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.7, 'e': 0.045775786806758992}",20,12,14.162492817708827,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.7, 'e': 0.04550195440462157}",25,14,20.841547812731093,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.7, 'e': 0.04522976007775692}",20,10,18.207664544240323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.7, 'e': 0.044959194027139902}",20,10,21.459861785586867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.7, 'e': 0.044690246512363439}",25,8,35.23808256255908,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.7, 'e': 0.044422907851287996}",20,8,22.557864322188095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.7, 'e': 0.04415716841969286}",25,9,27.100269983508813,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.7, 'e': 0.043893018650929837}",20,10,21.74794911635077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
